experiment_id	experiment_type	SoyBase_ID	platform_name	platform_details	number_loci_tested	number_germplasm_tested
1	GWAS	KGK20170714.1	SoySNP50k	Illumina Infinium BeadChip	52041	12116
2	GWAS	KGK20171006.1			59845	279
3	GWAS	KGK20170712.1	BARCSoySNP6K	Illumina BeadChip	6000	169
4	GWAS	KGK20170915.1	SoySNP50k	Illumina iSelect BeadChip	31253	332
5	GWAS	KGK20171027.1			4000000	809
6	GWAS	KGK20170803.1			85	113
7	GWAS	KGK20170825.1	SoySNP6K	Illumina iSelectBeadChip	5279	91
8	GWAS	KGK20170908.1			116769	366
9	GWAS	KGK20170714.2			142	92
10	GWAS	KGK20171002.1	SoySNP50K	iSelect BeadChip	33957	374
11	GWAS	KGK20170814.1			17172	139
12	GWAS	KGK20170920.1	SoyNAM	Illumina BeadChip	4077	5555
13	GWAS	KGK20171018.1	SoySNP50K	Illumina BeadChip	35009	166
14	GWAS	KGK20170707.1	Illumina GoldenGate		1142	219
15	GWAS	KGK20170711.1	SoySNP50K	Ilumina BeadChip	31045	309
16	GWAS	KGK20170808.1	SoySNP50k	Illumina BeadChip	31045	309
