TaxonID	3847
MappingPopulation	A81356022_x_A81356022
Journal	Genetics
Year	1990
Volume	126
Pages	735-742
Title	RFLP mapping in soybean: association between marker loci and variation in quantative traits.
Canopy height 1-1	Canopy Height
Canopy height 1-2	Canopy Height
First flower 1-1	First flower
First flower 1-2	First flower
First flower 1-3	First flower
Leaflet length 1-1	Leaflet Length
Leaflet length 1-2	Leaflet Length
Leaflet width 1-1	Leaflet Width
Leaflet width 1-2	Leaflet Width
Leaflet width 1-3	Leaflet Width
Pod maturity 1-1	R8 Full Maturity
Pod maturity 1-2	R8 Full Maturity
Pod maturity 1-3	R8 Full Maturity
Pod maturity 1-4	R8 Full Maturity
Pod maturity 1-5	R8 Full Maturity
Seed fill 1-1	Seed filling period
Stem diameter, main 1-1	Main Stem Diameter
Stem diameter, main 1-2	Main Stem Diameter
Stem diameter, main 1-3	Main Stem Diameter
Stem length, main 1-1	Main Stem Length
