TaxonID	3847
MappingPopulation	A81356022_x_PI468916
Journal	J. Am. Oil Chemists Soc.
Year	1992
Volume	69
Pages	1242-1247
Title	Restriction Fragment Length Polymorphism Analysis of Soybean Fatty Acid Content
Seed linoleic 1-1	Seed linoleic acid content
Seed linoleic 1-2	Seed linoleic acid content
Seed linoleic 1-3	Seed linoleic acid content
Seed linoleic 1-4	Seed linoleic acid content
Seed linoleic 1-5	Seed linoleic acid content
Seed linoleic 1-6	Seed linoleic acid content
Seed linolenic 1-1	Seed linolenic acid content
Seed linolenic 1-2	Seed linolenic acid content
Seed linolenic 1-3	Seed linolenic acid content
Seed linolenic 1-4	Seed linolenic acid content
Seed linolenic 1-5	Seed linolenic acid content
Seed linolenic 1-6	Seed linolenic acid content
Seed linolenic 1-7	Seed linolenic acid content
Seed oleic 1-1	Seed oleic acid content
Seed oleic 1-2	Seed oleic acid content
Seed oleic 1-3	Seed oleic acid content
Seed oleic 1-4	Seed oleic acid content
Seed oleic 1-5	Seed oleic acid content
Seed oleic 1-6	Seed oleic acid content
Seed palmitic 1-1	Seed palmitic acid content
Seed palmitic 1-2	Seed palmitic acid content
Seed palmitic 1-3	Seed palmitic acid content
Seed stearic 1-1	Seed stearic acid content
