TaxonID	3847
MappingPopulation	A81356022_x_PI468916
Journal	Theor. Appl. Genet.
Year	1992
Volume	83
Pages	608-612
Title	RFLP analysis of soybean seed protein and oil content
Seed oil 2-1	Seed oil content
Seed oil 2-2	Seed oil content
Seed oil 2-3	Seed oil content
Seed oil 2-4	Seed oil content
Seed oil 2-5	Seed oil content
Seed oil 2-6	Seed oil content
Seed oil 2-7	Seed oil content
Seed oil 2-8	Seed oil content
Seed oil 2-9	Seed oil content
Seed protein 1-1	Seed protein content
Seed protein 1-2	Seed protein content
Seed protein 1-3	Seed protein content
Seed protein 1-4	Seed protein content
Seed protein 1-5	Seed protein content
Seed protein 1-6	Seed protein content
Seed protein 1-7	Seed protein content
Seed protein 1-8	Seed protein content
