TaxonID	3847
MappingPopulation	PI27890_x_PI27890
Journal	Theor. Appl. Genet.
Year	1993
Volume	86
Pages	907-913
Title	Interval mapping of quantitative trait loci for reproductive, morphological, and seed traits of soybean (Glycine max L.).
Canopy height 2-1	Canopy Height
First flower 2-1	First flower
First flower 2-2	First flower
First flower 2-3	First flower
Leaflet area 8-1	Leaflet area
Leaflet area 8-2	Leaflet area
Lodging 1-1	Lodging
Plant height 1-1	Plant Height
Pod maturity 2-1	R8 Full Maturity
Seed fill 2-1	Seed filling period
Seed fill 2-2	Seed filling period
Seed oil 1-1	Seed oil content
Seed oil 1-2	Seed oil content
Seed yield 1-1	Seed yield
Seed yield 1-2	Seed yield
Seed, beginning 1-1	R5 Beginning Seed
Seed, beginning 1-2	R5 Beginning Seed
