TaxonID	3847
MappingPopulation	PI27890_x_PI27890
Journal	Theor. Appl. Genet.
Year	1993
Volume	86
Pages	914-918
Title	Determining the linkage of quantitative trait loci to RFLP markers using extreme phenotypes of recombinant inbreds of soybean (Glycine max L. Merr.).
Lodging 2-1	Lodging
Plant height 2-1	Plant Height
Plant height 2-2	Plant Height
Plant height 2-3	Plant Height
Plant height 2-4	Plant Height
Pod maturity 3-1	R8 Full Maturity
Pod maturity 3-2	R8 Full Maturity
Pod maturity 3-3	R8 Full Maturity
Seed yield 2-1	Seed yield
Seed yield 2-2	Seed yield
