TaxonID	3847
MappingPopulation	Young_x_PI416937
Journal	Crop Science
Year	1996
Volume	36
Pages	1252-1257
Title	Molecular markers associated with water use efficiency and leaf ash in soybean
Leaflet ash 1-1	Leaflet ash content
Leaflet ash 1-10	Leaflet ash content
Leaflet ash 1-11	Leaflet ash content
Leaflet ash 1-2	Leaflet ash content
Leaflet ash 1-3	Leaflet ash content
Leaflet ash 1-4	Leaflet ash content
Leaflet ash 1-5	Leaflet ash content
Leaflet ash 1-6	Leaflet ash content
Leaflet ash 1-7	Leaflet ash content
Leaflet ash 1-8	Leaflet ash content
Leaflet ash 1-9	Leaflet ash content
WUE 1-1	Water Use Efficiency
WUE 1-2	Water Use Efficiency
WUE 1-3	Water Use Efficiency
WUE 1-4	Water Use Efficiency
WUE 1-5	Water Use Efficiency
WUE 1-6	Water Use Efficiency
