TaxonID	3847
MappingPopulation	Noir1_x_Minsoy
Journal	Crop Science
Year	1996
Volume	36
Pages	1327-1336
Title	Genetic mapping of agronomic traits using recombinant inbred lines of soybean.
First flower 3-1	First flower
First flower 3-2	First flower
First flower 3-3	First flower
First flower 3-4	First flower
Leaflet area 7-1	Leaflet area
Leaflet area 7-2	Leaflet area
Leaflet length 2-1	Leaflet Length
Leaflet length 2-2	Leaflet Length
Leaflet length 2-3	Leaflet Length
Leaflet width 2-1	Leaflet Width
Leaflet width 2-2	Leaflet Width
Leaflet width 2-3	Leaflet Width
Lodging 3-1	Lodging
Lodging 3-2	Lodging
Lodging 3-3	Lodging
Lodging 3-4	Lodging
Plant height 3-1	Plant Height
Plant height 3-2	Plant Height
Plant height 3-3	Plant Height
Plant height 3-4	Plant Height
Plant height 3-5	Plant Height
Plant height to Lodging ratio 1-1	Height/Lodging
Plant height to Lodging ratio 1-2	Height/Lodging
Plant height to Lodging ratio 1-3	Height/Lodging
Pod maturity 4-1	R8 Full Maturity
Pod maturity 4-2	R8 Full Maturity
Pod maturity 4-3	R8 Full Maturity
Reproductive stage length 1-1	Reproductive stage length
Reproductive stage length 1-2	Reproductive stage length
Seed number 1-1	Seed Number
Seed number 1-2	Seed Number
Seed oil 3-1	Seed oil content
Seed oil 3-2	Seed oil content
Seed oil 3-3	Seed oil content
Seed protein 2-1	Seed protein content
Seed protein 2-2	Seed protein content
Seed protein 2-3	Seed protein content
Seed weight 1-1	Seed weight per plant
Seed weight 1-2	Seed weight per plant
Seed weight 1-3	Seed weight per plant
Seed yield 3-1	Seed yield
Seed yield 3-2	Seed yield
Seed yield 3-3	Seed yield
Seed yield to Plant height ratio 1-1	Seed yield/Plant height
Seed yield to Plant height ratio 1-2	Seed yield/Plant height
Seed yield to Plant height ratio 1-3	Seed yield/Plant height
