TaxonID	3847
MappingPopulation	Young_x_PI416937
Journal	Crop Science
Year	1996
Volume	36
Pages	728-735
Title	Molecular markers associated with soybean plant height, lodging, and maturity across locations.
Lodging 5-1	Lodging
Lodging 5-10	Lodging
Lodging 5-11	Lodging
Lodging 5-12	Lodging
Lodging 5-13	Lodging
Lodging 5-14	Lodging
Lodging 5-15	Lodging
Lodging 5-2	Lodging
Lodging 5-3	Lodging
Lodging 5-4	Lodging
Lodging 5-5	Lodging
Lodging 5-6	Lodging
Lodging 5-7	Lodging
Lodging 5-8	Lodging
Lodging 5-9	Lodging
Plant height 5-1	Plant Height
Plant height 5-10	Plant Height
Plant height 5-11	Plant Height
Plant height 5-12	Plant Height
Plant height 5-13	Plant Height
Plant height 5-14	Plant Height
Plant height 5-2	Plant Height
Plant height 5-3	Plant Height
Plant height 5-4	Plant Height
Plant height 5-5	Plant Height
Plant height 5-6	Plant Height
Plant height 5-7	Plant Height
Plant height 5-8	Plant Height
Plant height 5-9	Plant Height
Pod maturity 6-1	R8 Full Maturity
Pod maturity 6-2	R8 Full Maturity
Pod maturity 6-3	R8 Full Maturity
Pod maturity 6-4	R8 Full Maturity
Pod maturity 6-5	R8 Full Maturity
Pod maturity 6-6	R8 Full Maturity
Pod maturity 6-7	R8 Full Maturity
Pod maturity 6-8	R8 Full Maturity
