TaxonID	3847
MappingPopulation	PI97100_x_Coker237
Journal	Theoretical and Applied Genetics
Year	1996
Volume	92
Pages	516-523
Title	Identification of quantitative trait loci for plant height, lodging, and maturity in a soybean population segregating for growth habit.
Lodging 4-1	Lodging
Lodging 4-2	Lodging
Lodging 4-3	Lodging
Plant height 4-1	Plant Height
Plant height 4-2	Plant Height
Plant height 4-3	Plant Height
Plant height 4-4	Plant Height
Pod maturity 5-1	R8 Full Maturity
Pod maturity 5-2	R8 Full Maturity
Pod maturity 5-3	R8 Full Maturity
Pod maturity 5-4	R8 Full Maturity
