TaxonID	3847
MappingPopulation	V71-370_x_PI407162
Journal	Theoretical and Applied Genetics
Year	1996
Volume	93
Pages	574-579
Title	Molecular-marker analysis of seed-weight: genomic locations, gene action, and evidence for orthologous evolution among three legume species.
Seed weight 4-1	Seed weight per plant
Seed weight 4-2	Seed weight per plant
Seed weight 4-3	Seed weight per plant
Seed weight 4-4	Seed weight per plant
Seed weight 4-5	Seed weight per plant
Seed weight 4-6	Seed weight per plant
