TaxonID	3847
MappingPopulation	Young_x_PI416937
Journal	Theoretical and Applied Genetics
Year	1996
Volume	93
Pages	649-657
Title	RFLP loci associated with soybean seed protein and oil content across populations and locations
Seed oil 5-1	Seed oil content
Seed oil 5-2	Seed oil content
Seed oil 5-3	Seed oil content
Seed oil 5-4	Seed oil content
Seed oil 5-5	Seed oil content
Seed oil 5-6	Seed oil content
Seed oil 6-1	Seed oil content
Seed oil 6-2	Seed oil content
Seed oil 6-3	Seed oil content
Seed oil 6-4	Seed oil content
Seed oil 6-5	Seed oil content
Seed protein 4-1	Seed protein content
Seed protein 4-10	Seed protein content
Seed protein 4-11	Seed protein content
Seed protein 4-12	Seed protein content
Seed protein 4-13	Seed protein content
Seed protein 4-2	Seed protein content
Seed protein 4-3	Seed protein content
Seed protein 4-4	Seed protein content
Seed protein 4-5	Seed protein content
Seed protein 4-6	Seed protein content
Seed protein 4-7	Seed protein content
Seed protein 4-8	Seed protein content
Seed protein 4-9	Seed protein content
Seed protein 5-1	Seed protein content
Seed protein 5-2	Seed protein content
Seed protein 5-3	Seed protein content
Seed protein 5-4	Seed protein content
Seed protein 5-5	Seed protein content
Seed protein 5-6	Seed protein content
