TaxonID	3847
MappingPopulation	CNS_x_PI230977
Journal	Crop Science
Year	1997
Volume	37
Pages	1903-1909
Title	RFLP mapping of resistance to southern root-knot nematode in soybean
Jav root-knot nematode 1-1	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-2	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-3	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-4	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-5	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-6	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-7	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-8	Reaction to Meloidogyne javanica
Peanut root-knot nematode 1-1	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 1-2	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 1-3	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 1-4	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 1-5	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 2-1	Reaction to Meloidogyne arenaria
Peanut root-knot nematode 2-2	Reaction to Meloidogyne arenaria
Southern root-knot nematode 1-1	Reaction to Meloidogyne incognita
Southern root-knot nematode 1-2	Reaction to Meloidogyne incognita
Southern root-knot nematode 1-3	Reaction to Meloidogyne incognita
Southern root-knot nematode 1-4	Reaction to Meloidogyne incognita
Southern root-knot nematode 2-1	Reaction to Meloidogyne incognita
Southern root-knot nematode 2-2	Reaction to Meloidogyne incognita
