TaxonID	3847
MappingPopulation	M82806_x_HHP
Journal	Crop Science
Year	1997
Volume	37
Pages	370-378
Title	Mapping QTL for seed protein and oil content in eight soybean populations
Seed oil 4-1	Seed oil content
Seed oil 4-10	Seed oil content
Seed oil 4-11	Seed oil content
Seed oil 4-2	Seed oil content
Seed oil 4-3	Seed oil content
Seed oil 4-4	Seed oil content
Seed oil 4-5	Seed oil content
Seed oil 4-6	Seed oil content
Seed oil 4-7	Seed oil content
Seed oil 4-8	Seed oil content
Seed oil 4-9	Seed oil content
Seed protein 3-1	Seed protein content
Seed protein 3-10	Seed protein content
Seed protein 3-11	Seed protein content
Seed protein 3-12	Seed protein content
Seed protein 3-2	Seed protein content
Seed protein 3-3	Seed protein content
Seed protein 3-4	Seed protein content
Seed protein 3-5	Seed protein content
Seed protein 3-6	Seed protein content
Seed protein 3-7	Seed protein content
Seed protein 3-8	Seed protein content
Seed protein 3-9	Seed protein content
