TaxonID	3847
MappingPopulation	CNS_x_PI230977
Journal	Crop Science
Year	1997
Volume	37
Pages	783-788
Title	DNA markers associated with resistance to javanese root-knot nematode in soybean
Jav root-knot nematode 1-1	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-2	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-3	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-4	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-5	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-6	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-7	Reaction to Meloidogyne javanica
Jav root-knot nematode 1-8	Reaction to Meloidogyne javanica
