TaxonID	3847
MappingPopulation	Young_x_PI416937
Journal	Journal of Heredity
Year	1997
Volume	88
Pages	152-154
Title	Pod dehiscence of soybean: trait identification of quantitative trait loci
Pod dehiscence 1-1	Shattering
Pod dehiscence 1-10	Shattering
Pod dehiscence 1-11	Shattering
Pod dehiscence 1-12	Shattering
Pod dehiscence 1-2	Shattering
Pod dehiscence 1-3	Shattering
Pod dehiscence 1-4	Shattering
Pod dehiscence 1-5	Shattering
Pod dehiscence 1-6	Shattering
Pod dehiscence 1-7	Shattering
Pod dehiscence 1-8	Shattering
Pod dehiscence 1-9	Shattering
