TaxonID	3847
MappingPopulation	PI97100_x_Coker237
Journal	Journal of Heredity
Year	1997
Volume	88
Pages	38-41
Title	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-1	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-10	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-11	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-2	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-3	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-4	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-5	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-6	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-7	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-8	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 1-9	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 2-1	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 2-2	Chlorimuron Ethyl Sensitivity
Chlorimuron sensitivity 2-3	Chlorimuron Ethyl Sensitivity
