TaxonID	3847
MappingPopulation	Young_x_PI416937
Journal	Crop Science
Year	1998
Volume	38
Pages	390-393
Title	An additional QTL for water use efficiency in soybean
Leaflet area 3-1	Leaflet area
Leaflet area 3-2	Leaflet area
Leaflet area 3-3	Leaflet area
Leaflet area 3-4	Leaflet area
Leaflet weight, specific 1-1	Specific leaflet weight
Leaflet weight, specific 1-2	Specific leaflet weight
Leaflet weight, specific 1-3	Specific leaflet weight
Leaflet weight, specific 1-4	Specific leaflet weight
Leaflet weight, specific 1-5	Specific leaflet weight
Leaflet weight, specific 1-6	Specific leaflet weight
