TaxonID	3847
MappingPopulation	S100_x_Tokyo
Journal	Theoretical and Applied Genetics
Year	1998
Volume	97
Pages	1210-1216
Title	QTLs conditioning early growth in a soybean population segregating for growth habit.
Canopy width 1-1	Canopy Width
Canopy width 1-2	Canopy Width
Canopy width 1-3	Canopy Width
Plant height 11-1	Plant Height
Plant height 11-2	Plant Height
Plant height 11-3	Plant Height
Plant height 11-4	Plant Height
Plant height 7-1	Plant Height
Plant height 7-2	Plant Height
Plant height 7-3	Plant Height
