TaxonID	3847
MappingPopulation	Minsoy_x_Archer
Journal	Crop Science
Year	1999
Volume	39
Pages	1642-1651
Title	Genetics of soybean agronomic traits: I. Comparison of three related recombinant inbred populations
First flower 4-1	First flower
First flower 4-2	First flower
First flower 4-3	First flower
First flower 4-4	First flower
First flower 5-1	First flower
First flower 5-2	First flower
First flower 5-3	First flower
First flower 6-1	First flower
First flower 6-2	First flower
First flower 6-3	First flower
Leaflet area 4-1	Leaflet area
Leaflet area 4-2	Leaflet area
Leaflet area 4-3	Leaflet area
Leaflet area 4-4	Leaflet area
Leaflet area 5-1	Leaflet area
Leaflet area 6-1	Leaflet area
Leaflet area 6-2	Leaflet area
Leaflet area 6-3	Leaflet area
Leaflet length 3-1	Leaflet Length
Leaflet length 3-2	Leaflet Length
Leaflet length 3-3	Leaflet Length
Leaflet length 4-1	Leaflet Length
Leaflet length 4-2	Leaflet Length
Leaflet length 4-3	Leaflet Length
Leaflet length 5-1	Leaflet Length
Leaflet length 5-2	Leaflet Length
Leaflet length 5-3	Leaflet Length
Leaflet length 5-4	Leaflet Length
Leaflet width 3-1	Leaflet Width
Leaflet width 3-2	Leaflet Width
Leaflet width 3-3	Leaflet Width
Leaflet width 4-1	Leaflet Width
Leaflet width 4-2	Leaflet Width
Leaflet width 5-1	Leaflet Width
Leaflet width 5-2	Leaflet Width
Leaflet width 5-3	Leaflet Width
Leaflet width 5-4	Leaflet Width
Lodging 6-1	Lodging
Lodging 6-2	Lodging
Lodging 7-1	Lodging
Lodging 8-1	Lodging
Lodging 8-2	Lodging
Lodging 8-3	Lodging
Lodging 8-4	Lodging
Plant height 10-1	Plant Height
Plant height 10-2	Plant Height
Plant height 10-3	Plant Height
Plant height 10-4	Plant Height
Plant height 8-1	Plant Height
Plant height 8-2	Plant Height
Plant height 8-3	Plant Height
Plant height 8-4	Plant Height
Plant height 9-1	Plant Height
Plant height 9-2	Plant Height
Plant height 9-3	Plant Height
Plant height to Lodging ratio 2-1	Height/Lodging
Plant height to Lodging ratio 2-2	Height/Lodging
Plant height to Lodging ratio 2-3	Height/Lodging
Plant height to Lodging ratio 2-4	Height/Lodging
Plant height to Lodging ratio 3-1	Height/Lodging
Plant height to Lodging ratio 3-2	Height/Lodging
Plant height to Lodging ratio 4-1	Height/Lodging
Plant height to Lodging ratio 4-2	Height/Lodging
Pod maturity 10-1	R8 Full Maturity
Pod maturity 10-2	R8 Full Maturity
Pod maturity 10-3	R8 Full Maturity
Pod maturity 10-4	R8 Full Maturity
Pod maturity 8-1	R8 Full Maturity
Pod maturity 8-2	R8 Full Maturity
Pod maturity 8-3	R8 Full Maturity
Pod maturity 8-4	R8 Full Maturity
Pod maturity 8-5	R8 Full Maturity
Pod maturity 9-1	R8 Full Maturity
Pod maturity 9-2	R8 Full Maturity
Pod maturity 9-3	R8 Full Maturity
Reproductive stage length 2-1	Reproductive stage length
Reproductive stage length 2-2	Reproductive stage length
Reproductive stage length 3-1	Reproductive stage length
Reproductive stage length 3-2	Reproductive stage length
Reproductive stage length 3-3	Reproductive stage length
Reproductive stage length 3-4	Reproductive stage length
Reproductive stage length 4-1	Reproductive stage length
Reproductive stage length 4-2	Reproductive stage length
Reproductive stage length 4-3	Reproductive stage length
Reproductive stage length 4-4	Reproductive stage length
Reproductive stage length 4-5	Reproductive stage length
Reproductive stage length 4-6	Reproductive stage length
Seed oil 10-1	Seed oil content
Seed oil 8-1	Seed oil content
Seed oil 8-2	Seed oil content
Seed oil 9-1	Seed oil content
Seed oil 9-2	Seed oil content
Seed oil 9-3	Seed oil content
Seed protein 7-1	Seed protein content
Seed protein 7-2	Seed protein content
Seed protein 8-1	Seed protein content
Seed protein 9-1	Seed protein content
Seed protein 9-2	Seed protein content
Seed weight 5-1	Seed weight per plant
Seed weight 5-2	Seed weight per plant
Seed weight 6-1	Seed weight per plant
Seed weight 6-2	Seed weight per plant
Seed weight 6-3	Seed weight per plant
Seed weight 6-4	Seed weight per plant
Seed weight 6-5	Seed weight per plant
Seed weight 6-6	Seed weight per plant
Seed weight 6-7	Seed weight per plant
Seed weight 7-1	Seed weight per plant
Seed weight 7-2	Seed weight per plant
Seed weight 7-3	Seed weight per plant
Seed weight 7-4	Seed weight per plant
Seed weight 7-5	Seed weight per plant
Seed weight 7-6	Seed weight per plant
Seed weight 7-7	Seed weight per plant
Seed yield 6-1	Seed yield
Seed yield to Plant height ratio 2-1	Seed yield/Plant height
Seed yield to Plant height ratio 2-2	Seed yield/Plant height
Seed yield to Plant height ratio 2-3	Seed yield/Plant height
Seed yield to Plant height ratio 2-4	Seed yield/Plant height
Seed yield to Plant height ratio 2-5	Seed yield/Plant height
Seed yield to Plant height ratio 2-6	Seed yield/Plant height
Seed yield to Plant height ratio 3-1	Seed yield/Plant height
Seed yield to Plant height ratio 3-2	Seed yield/Plant height
Seed yield to Plant height ratio 3-3	Seed yield/Plant height
Seed yield to Plant height ratio 3-4	Seed yield/Plant height
Seed yield to Plant height ratio 4-1	Seed yield/Plant height
Seed yield to Plant height ratio 4-2	Seed yield/Plant height
Seed yield to Plant height ratio 4-3	Seed yield/Plant height
Seed yield to weight ratio 1-1	Seed Number
Seed yield to weight ratio 2-1	Seed Number
Seed yield to weight ratio 2-2	Seed Number
Seed yield to weight ratio 2-3	Seed Number
Seed yield to weight ratio 3-1	Seed Number
Seed yield to weight ratio 3-2	Seed Number
Seed yield to weight ratio 3-3	Seed Number
