TaxonID	3847
MappingPopulation	Peking_x_Essex
Journal	Theoretical and Applied Genetics
Year	1999
Volume	98
Pages	356-364
Title	RFLP markers associated with soybean cyst nematode resistance and seed composition in a 'Peking' x 'Essex' population.
SCN 10-1	Reaction to Heterodera glycines
SCN 10-2	Reaction to Heterodera glycines
SCN 10-3	Reaction to Heterodera glycines
SCN 10-4	Reaction to Heterodera glycines
SCN 10-5	Reaction to Heterodera glycines
SCN 11-1	Reaction to Heterodera glycines
SCN 11-2	Reaction to Heterodera glycines
SCN 11-3	Reaction to Heterodera glycines
SCN 12-1	Reaction to Heterodera glycines
SCN 12-2	Reaction to Heterodera glycines
Seed oil 7-1	Seed oil content
Seed protein 6-1	Seed protein content
Seed protein 6-2	Seed protein content
