TaxonID	3847
MappingPopulation	G.max_x_G.soja
Journal	Crop Science
Year	2000
Volume	40
Pages	1438-1444
Title	Analysis of a quantitative trait locus allele from wild soybean that increases seed protein concentration in soybean
Plant height 12-1	Plant Height
Pod maturity 11-1	R8 Full Maturity
Pod maturity 12-1	R8 Full Maturity
Seed oil 11-1	Seed oil content
Seed oil 12-1	Seed oil content
Seed protein 10-1	Seed protein content
Seed protein 11-1	Seed protein content
Seed weight 8-1	Seed weight per plant
Seed weight 9-1	Seed weight per plant
Seed yield 10-1	Seed yield
Seed yield 9-1	Seed yield
