TaxonID	3847
MappingPopulation	Minsoy_x_Noir1
Journal	Crop Science
Year	2000
Volume	40
Pages	375-382
Title	Soybean quantitative trait loci for resistance to insects
Corn earworm 7-1	Reaction to Helicoverpa zea
Corn earworm 7-2	Reaction to Helicoverpa zea
Corn earworm 7-3	Reaction to Helicoverpa zea
Corn earworm 7-4	Reaction to Helicoverpa zea
Corn earworm 7-5	Reaction to Helicoverpa zea
Corn earworm 8-1	Reaction to Helicoverpa zea
Corn earworm 8-2	Reaction to Helicoverpa zea
Corn earworm 8-3	Reaction to Helicoverpa zea
