TaxonID	3847
MappingPopulation	S19-90_x_Williams82
Journal	Crop Science
Year	2000
Volume	40
Pages	55-61
Title	Inheritance of partial resistance to Sclerotinia stem rot in soybean
Sclero 1-1	Reaction to Sclerotinia sclerotiorum infection
Sclero 1-2	Reaction to Sclerotinia sclerotiorum infection
Sclero 1-3	Reaction to Sclerotinia sclerotiorum infection
Sclero 1-4	Reaction to Sclerotinia sclerotiorum infection
Sclero 1-5	Reaction to Sclerotinia sclerotiorum infection
Sclero 1-6	Reaction to Sclerotinia sclerotiorum infection
Sclero 1-7	Reaction to Sclerotinia sclerotiorum infection
Sclero 1-8	Reaction to Sclerotinia sclerotiorum infection
