TaxonID	3847
MappingPopulation	V71-370_x_PI407162
Journal	Molecular Breeding
Year	2000
Volume	6
Pages	105-111
Title	Identification of quantitative trait loci controlling sucrose content in soybean (Glycine max)
Seed sucrose 1-1	Seed sucrose content
Seed sucrose 1-10	Seed sucrose content
Seed sucrose 1-11	Seed sucrose content
Seed sucrose 1-12	Seed sucrose content
Seed sucrose 1-13	Seed sucrose content
Seed sucrose 1-14	Seed sucrose content
Seed sucrose 1-15	Seed sucrose content
Seed sucrose 1-16	Seed sucrose content
Seed sucrose 1-17	Seed sucrose content
Seed sucrose 1-2	Seed sucrose content
Seed sucrose 1-3	Seed sucrose content
Seed sucrose 1-4	Seed sucrose content
Seed sucrose 1-5	Seed sucrose content
Seed sucrose 1-6	Seed sucrose content
Seed sucrose 1-7	Seed sucrose content
Seed sucrose 1-8	Seed sucrose content
Seed sucrose 1-9	Seed sucrose content
