TaxonID	3847
MappingPopulation	PI89772_x_Hamilton
Journal	Crop Science
Year	2001
Volume	41
Pages	1589-1595
Title	Mapping Resistance to Multiple Races of Heterodera glycines in Soybean PI 89772
SCN 23-1	Reaction to Heterodera glycines
SCN 23-2	Reaction to Heterodera glycines
SCN 23-3	Reaction to Heterodera glycines
SCN 24-1	Reaction to Heterodera glycines
SCN 24-2	Reaction to Heterodera glycines
SCN 25-1	Reaction to Heterodera glycines
SCN 25-2	Reaction to Heterodera glycines
SCN 26-1	Reaction to Heterodera glycines
SCN 26-2	Reaction to Heterodera glycines
SCN 26-3	Reaction to Heterodera glycines
