TaxonID	3847
MappingPopulation	Corsoy79_x_Williams82
Journal	Crop Science
Year	2001
Volume	41
Pages	180-188
Title	Identification of QTLs for Resistance to Sclerotinia sclerotiorum in Soybean
Sclero 2-1	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-10	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-11	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-12	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-13	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-14	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-15	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-16	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-17	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-18	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-19	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-2	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-20	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-21	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-22	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-23	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-24	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-3	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-4	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-5	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-6	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-7	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-8	Reaction to Sclerotinia sclerotiorum infection
Sclero 2-9	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-1	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-10	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-11	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-12	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-13	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-14	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-15	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-16	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-17	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-18	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-19	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-2	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-3	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-4	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-5	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-6	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-7	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-8	Reaction to Sclerotinia sclerotiorum infection
Sclero 3-9	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-1	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-10	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-11	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-2	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-3	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-4	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-5	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-6	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-7	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-8	Reaction to Sclerotinia sclerotiorum infection
Sclero 4-9	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-1	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-10	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-11	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-12	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-13	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-14	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-15	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-16	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-2	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-3	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-4	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-5	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-6	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-7	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-8	Reaction to Sclerotinia sclerotiorum infection
Sclero 5-9	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-1	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-10	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-11	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-12	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-13	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-2	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-3	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-4	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-5	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-6	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-7	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-8	Reaction to Sclerotinia sclerotiorum infection
Sclero 6-9	Reaction to Sclerotinia sclerotiorum infection
