TaxonID	3847
MappingPopulation	Minsoy_x_Noir1
Journal	Crop Science
Year	2001
Volume	41
Pages	493-509
Title	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Carbon isotope discrimination 1-1	Carbon Isotope Discrimination
Carbon isotope discrimination 1-2	Carbon Isotope Discrimination
Carbon isotope discrimination 1-3	Carbon Isotope Discrimination
Carbon isotope discrimination 1-4	Carbon Isotope Discrimination
Carbon isotope discrimination 1-5	Carbon Isotope Discrimination
Lodging 9-1	Lodging
Lodging 9-2	Lodging
Lodging 9-3	Lodging
Lodging 9-4	Lodging
Lodging 9-5	Lodging
Plant height 13-1	Plant Height
Plant height 13-2	Plant Height
Plant height 13-3	Plant Height
Plant height 13-4	Plant Height
Plant height 13-5	Plant Height
Plant height 13-6	Plant Height
Plant height 13-7	Plant Height
Plant height 13-8	Plant Height
Plant height 13-9	Plant Height
Pod maturity 13-1	R8 Full Maturity
Pod maturity 13-2	R8 Full Maturity
Pod maturity 13-3	R8 Full Maturity
Pod maturity 13-4	R8 Full Maturity
Pod maturity 13-5	R8 Full Maturity
Pod maturity 13-6	R8 Full Maturity
Pod maturity 13-7	R8 Full Maturity
Pod maturity 13-8	R8 Full Maturity
Seed oil 13-1	Seed oil content
Seed oil 13-2	Seed oil content
Seed oil 13-3	Seed oil content
Seed oil 13-4	Seed oil content
Seed oil 13-5	Seed oil content
Seed protein 12-1	Seed protein content
Seed protein 12-2	Seed protein content
Seed protein 12-3	Seed protein content
Seed protein 12-4	Seed protein content
Seed protein 12-5	Seed protein content
Seed weight 10-1	Seed weight per plant
Seed weight 10-10	Seed weight per plant
Seed weight 10-11	Seed weight per plant
Seed weight 10-2	Seed weight per plant
Seed weight 10-3	Seed weight per plant
Seed weight 10-4	Seed weight per plant
Seed weight 10-5	Seed weight per plant
Seed weight 10-6	Seed weight per plant
Seed weight 10-7	Seed weight per plant
Seed weight 10-8	Seed weight per plant
Seed weight 10-9	Seed weight per plant
Seed yield 11-1	Seed yield
Seed yield 11-2	Seed yield
Seed yield 11-3	Seed yield
Seed yield 11-4	Seed yield
Seed yield 11-5	Seed yield
Seed yield 11-6	Seed yield
Seed yield 11-7	Seed yield
