TaxonID	3847
MappingPopulation	PI317334B_x_Corsoy
Journal	Molecular Breeding
Year	2001
Volume	8
Pages	25-35
Title	Mapping genetic loci for flowering time, maturity, and photoperiod insensitivity in soybean
First flower 10-1	First flower
First flower 10-2	First flower
First flower 9-1	First flower
First flower 9-2	First flower
First flower 9-3	First flower
Photoperiod insensitivity 1-1	Photoperiod sensitivity
Photoperiod insensitivity 2-1	Photoperiod sensitivity
Photoperiod insensitivity 2-2	Photoperiod sensitivity
Pod maturity, beginning 1-1	R7 Beginning Maturity
Pod maturity, beginning 1-2	R7 Beginning Maturity
Pod maturity, beginning 1-3	R7 Beginning Maturity
Pod maturity, beginning 2-1	R7 Beginning Maturity
Pod maturity, beginning 2-2	R7 Beginning Maturity
Pod, beginning 1-1	R3 Beginning pod
Pod, beginning 1-2	R3 Beginning pod
Pod, beginning 1-3	R3 Beginning pod
Pod, beginning 2-1	R3 Beginning pod
Pod, beginning 2-2	R3 Beginning pod
Pod, beginning 2-3	R3 Beginning pod
