TaxonID	3847
MappingPopulation	Essex_x_Forrest
Journal	Theoretical and Applied Genetics
Year	2001
Volume	102
Pages	187-192
Title	Microsatellite markers identify three additional quantitative trait loci for resistance to soybean sudden-death syndrome (SDS) in Essex x Forrest RILs
SDS 7-1	Reaction to Fusarium solani f sp glycines infection
SDS 7-2	Reaction to Fusarium solani f sp glycines infection
SDS 7-3	Reaction to Fusarium solani f sp glycines infection
SDS 7-4	Reaction to Fusarium solani f sp glycines infection
SDS 7-5	Reaction to Fusarium solani f sp glycines infection
SDS 7-6	Reaction to Fusarium solani f sp glycines infection
