TaxonID	3847
MappingPopulation	PI438489B_x_Hamilton
Journal	Theoretical and Applied Genetics
Year	2001
Volume	102
Pages	921-928
Title	Molecular characterization of resistance to Heterodera glycines in soybean PI 438489B
SCN 17-1	Reaction to Heterodera glycines
SCN 17-2	Reaction to Heterodera glycines
SCN 17-3	Reaction to Heterodera glycines
SCN 17-4	Reaction to Heterodera glycines
SCN 18-1	Reaction to Heterodera glycines
SCN 18-2	Reaction to Heterodera glycines
SCN 18-3	Reaction to Heterodera glycines
SCN 18-4	Reaction to Heterodera glycines
SCN 18-5	Reaction to Heterodera glycines
SCN 19-1	Reaction to Heterodera glycines
SCN 19-2	Reaction to Heterodera glycines
SCN 19-3	Reaction to Heterodera glycines
SCN 19-4	Reaction to Heterodera glycines
SCN 20-1	Reaction to Heterodera glycines
SCN 20-2	Reaction to Heterodera glycines
SCN 20-3	Reaction to Heterodera glycines
SCN 20-4	Reaction to Heterodera glycines
SCN 21-1	Reaction to Heterodera glycines
SCN 21-2	Reaction to Heterodera glycines
SCN 21-3	Reaction to Heterodera glycines
