TaxonID	3847
MappingPopulation	Pureunkong_x_Jinpumkong2
Journal	Theoretical and Applied Genetics
Year	2001
Volume	103
Pages	702-709
Title	Genetic mapping of QTLs conditioning soybean sprout yield and quality
Hypocotyl length 1-1	Hypocotyl Length
Hypocotyl length 1-2	Hypocotyl Length
Hypocotyl length 1-3	Hypocotyl Length
Seed weight 11-1	Seed weight per plant
Seed weight 11-2	Seed weight per plant
Seed weight 11-3	Seed weight per plant
Seed weight 11-4	Seed weight per plant
Seedling, abnormal 1-1	Abnormal seedling
Seedling, abnormal 1-2	Abnormal seedling
Seedling, abnormal 1-3	Abnormal seedling
Sprout yield 1-1	Sprout yield
Sprout yield 1-2	Sprout yield
Sprout yield 1-3	Sprout yield
Sprout yield 1-4	Sprout yield
