TaxonID	3847
MappingPopulation	Ma.Belle_x_Proto
Journal	Theoretical and Applied Genetics
Year	2001
Volume	103
Pages	912-919
Title	Seed quality QTLs identified in a molecular map of early maturing soybean
Seed oil 14-1	Seed oil content
Seed oil 14-2	Seed oil content
Seed oil 14-3	Seed oil content
Seed protein 13-1	Seed protein content
Seed protein 13-2	Seed protein content
Seed protein 13-3	Seed protein content
Seed protein 13-4	Seed protein content
Seed weight 12-1	Seed weight per plant
Seed weight 12-2	Seed weight per plant
Seed weight 12-3	Seed weight per plant
Seed weight 12-4	Seed weight per plant
Seed weight 12-5	Seed weight per plant
Seed weight 12-6	Seed weight per plant
Seed weight 12-7	Seed weight per plant
Seed weight 12-8	Seed weight per plant
