TaxonID	3847
MappingPopulation	Misuzudaizu_x_MoshidouGong503
Journal	Breeding Science
Year	2003
Volume	53
Pages	133-140
Title	Analysis of quantitative trait loci for protein and lipid contents in soybean seeds using recombinant inbred linesÊ
Seed oil 34-1	Seed oil content
Seed oil 34-2	Seed oil content
Seed oil 34-3	Seed oil content
Seed oil 34-4	Seed oil content
Seed oil 34-5	Seed oil content
Seed oil 34-6	Seed oil content
Seed oil 34-7	Seed oil content
Seed protein 30-1	Seed oil content
Seed protein 30-10	Seed oil content
Seed protein 30-2	Seed oil content
Seed protein 30-3	Seed oil content
Seed protein 30-4	Seed oil content
Seed protein 30-5	Seed oil content
Seed protein 30-6	Seed oil content
Seed protein 30-7	Seed oil content
Seed protein 30-8	Seed oil content
Seed protein 30-9	Seed oil content
