TaxonID	3847
MappingPopulation	Conrad_x_Sloan
Journal	Crop Science
Year	2003
Volume	43
Pages	1610-1617
Title	Quantitative Trait Loci for Partial Resistance to Phytophthora sojae in Soybean
Phytoph 2-1	Reaction to Phytophthora sojae infection
Phytoph 2-2	Reaction to Phytophthora sojae infection
Phytoph 3-1	Reaction to Phytophthora sojae infection
Phytoph 3-2	Reaction to Phytophthora sojae infection
Phytoph 4-1	Reaction to Phytophthora sojae infection
Phytoph 4-2	Reaction to Phytophthora sojae infection
