TaxonID	3847
MappingPopulation	Minsoy_x_Noir1
Journal	Crop Science
Year	2003
Volume	43
Pages	464-473
Title	Genetics of Seed Abortion and Reproductive Traits in Soybean
Seed abortion 1-1	Embryo Abortion
Seed abortion 1-2	Embryo Abortion
Seed abortion 1-3	Embryo Abortion
Seed abortion 1-4	Embryo Abortion
Seed abortion 1-5	Embryo Abortion
Seed abortion 1-6	Embryo Abortion
Seed abortion 1-7	Embryo Abortion
Seed abortion 1-8	Embryo Abortion
Seed abortion 1-9	Embryo Abortion
Seed set 1-1	Seed Set
Seed set 1-10	Seed Set
Seed set 1-2	Seed Set
Seed set 1-3	Seed Set
Seed set 1-4	Seed Set
Seed set 1-5	Seed Set
Seed set 1-6	Seed Set
Seed set 1-7	Seed Set
Seed set 1-8	Seed Set
Seed set 1-9	Seed Set
