TaxonID	3847
MappingPopulation	A96-492058_x_A97-775026
Journal	Crop Science
Year	2003
Volume	43
Pages	68-74
Title	Molecular Marker Analysis of Seed Size in Soybean
Seed weight 13-1	Seed weight per plant
Seed weight 13-10	Seed weight per plant
Seed weight 13-11	Seed weight per plant
Seed weight 13-2	Seed weight per plant
Seed weight 13-3	Seed weight per plant
Seed weight 13-4	Seed weight per plant
Seed weight 13-5	Seed weight per plant
Seed weight 13-6	Seed weight per plant
Seed weight 13-7	Seed weight per plant
Seed weight 13-8	Seed weight per plant
Seed weight 13-9	Seed weight per plant
