TaxonID	3847
MappingPopulation	Minsoy_x_Archer
Journal	Crop Science
Year	2004
Volume	44
Pages	2101-2106
Title	Quantitative Trait Loci Associated with Cell Wall Polysaccharides in Soybean Seed
Cellwall polysacch composition 1-1	Cell wall polysaccharide composition
Seed arabinose plus galactose 1-1	Seed arabinose-galactose content
Seed arabinose plus galactose 1-2	Seed arabinose-galactose content
Seed fucose 1-1	Seed fucose content
Seed galactose 1-1	Seed galactose content
Seed glucose 1-1	Seed glucose content
Seed pectin 1-1	Pectin content
Seed protein 19-1	Seed protein content
Seed weight 17-1	Seed weight per plant
