TaxonID	3847
MappingPopulation	BSR101_x_LG82-8379
Journal	Crop Science
Year	2004
Volume	44
Pages	784-791
Title	Putative alleles for increased yield from soybean plant introductions
Lodging 16-1	Lodging
Plant height 17-1	Plant Height
Plant height 17-10	Plant Height
Plant height 17-11	Plant Height
Plant height 17-12	Plant Height
Plant height 17-2	Plant Height
Plant height 17-3	Plant Height
Plant height 17-4	Plant Height
Plant height 17-5	Plant Height
Plant height 17-6	Plant Height
Plant height 17-7	Plant Height
Plant height 17-8	Plant Height
Plant height 17-9	Plant Height
Pod maturity 16-1	R8 Full Maturity
Pod maturity 16-2	R8 Full Maturity
Pod maturity 16-3	R8 Full Maturity
Pod maturity 16-4	R8 Full Maturity
Seed oil 20-1	Seed oil content
Seed oil 20-2	Seed oil content
Seed oil 20-3	Seed oil content
Seed protein 21-1	Seed protein content
Seed protein 21-10	Seed protein content
Seed protein 21-11	Seed protein content
Seed protein 21-2	Seed protein content
Seed protein 21-3	Seed protein content
Seed protein 21-4	Seed protein content
Seed protein 21-5	Seed protein content
Seed protein 21-6	Seed protein content
Seed protein 21-8	Seed protein content
Seed protein 21-9	Seed protein content
Seed yield 15-1	Seed yield
Seed yield 15-10	Seed yield
Seed yield 15-11	Seed yield
Seed yield 15-12	Seed yield
Seed yield 15-13	Seed yield
Seed yield 15-14	Seed yield
Seed yield 15-15	Seed yield
Seed yield 15-2	Seed yield
Seed yield 15-3	Seed yield
Seed yield 15-4	Seed yield
Seed yield 15-5	Seed yield
Seed yield 15-6	Seed yield
Seed yield 15-7	Seed yield
Seed yield 15-8	Seed yield
Seed yield 15-9	Seed yield
