TaxonID	3847
MappingPopulation	N87-984-16_x_TN93-99
Journal	Journal of the American Oil Chemists Society
Year	2004
Volume	81
Pages	1005-1012
Title	Quantitative Trait Loci for B-Conglycinin (7S) and Glycinin (11S) Fractions of Soybean Storage Protein
Seed acidic fraction 1-1	Seed acidic glycinin subunit content
Seed acidic fraction 1-2	Seed acidic glycinin subunit content
Seed acidic fraction 1-3	Seed acidic glycinin subunit content
Seed acidic fraction 1-4	Seed acidic glycinin subunit content
Seed basic fraction 1-1	Seed basic glycinin subunit content
Seed basic fraction 1-2	Seed basic glycinin subunit content
Seed conglycinin 1-1	Seed beta conglycinin protein fraction
Seed conglycinin, alpha-prime 1-1	Seed alpha-prime conglycinin fraction
Seed conglycinin, beta 1-1	Seed beta conglycinin protein fraction
Seed glycinin 1-1	Seed basic glycinin subunit content
