TaxonID	3847
MappingPopulation	Essex_x_Williams
Journal	Journal of the American Oil Chemists Society
Year	2004
Volume	81
Pages	1115-1118
Title	Molecular mapping and identification of soybean fatty acid modifier quantitative trait loci
Seed linoleic 2-1	Seed linoleic acid content
Seed linoleic 2-2	Seed linoleic acid content
Seed linolenic 2-1	Seed linolenic acid content
Seed linolenic 2-2	Seed linolenic acid content
Seed linolenic 2-3	Seed linolenic acid content
Seed oleic 2-1	Seed oleic acid content
Seed oleic 2-2	Seed oleic acid content
Seed palmitic 3-1	Seed palmitic acid content
Seed palmitic 3-2	Seed palmitic acid content
Seed palmitic 3-3	Seed palmitic acid content
Seed stearic 2-1	Seed stearic acid content
Seed stearic 2-2	Seed stearic acid content
