TaxonID	3847
MappingPopulation	IA2008_x_PI468916
Journal	Theoretical and Applied Genetics
Year	2004
Volume	108
Pages	458-467
Title	Identification of putative QTL that underlie yield in interspecific soybean backcross populations
Lodging 11-1	Lodging
Lodging 17-1	Lodging
Plant height 18-1	Plant Height
Plant height 18-2	Plant Height
Plant height 18-3	Plant Height
Plant height 18-4	Plant Height
Plant height 18-5	Plant Height
Plant height 18-6	Plant Height
Plant height 19-1	Plant Height
Plant height 19-2	Plant Height
Plant height 19-3	Plant Height
Plant height 19-4	Plant Height
Plant height 19-5	Plant Height
Pod maturity 14-1	R8 Full Maturity
Pod maturity 14-2	R8 Full Maturity
Pod maturity 14-3	R8 Full Maturity
Pod maturity 14-4	R8 Full Maturity
Pod maturity 15-1	R8 Full Maturity
Pod maturity 15-2	R8 Full Maturity
Pod maturity 15-3	R8 Full Maturity
Pod maturity 15-4	R8 Full Maturity
Seed yield 16-1	Seed yield
Seed yield 16-2	Seed yield
Seed yield 16-3	Seed yield
Seed yield 16-4	Seed yield
Seed yield 16-5	Seed yield
Seed yield 17-1	Seed yield
Seed yield 17-2	Seed yield
Seed yield 17-3	Seed yield
Seed yield 17-4	Seed yield
Seed yield 17-5	Seed yield
