TaxonID	3847
MappingPopulation	Essex_x_Williams
Journal	Theoretical and Applied Genetics
Year	2004
Volume	109
Pages	552-561
Title	Seed quality QTL in a prominent soybean population
Seed oil 23-1	Seed oil content
Seed oil 23-2	Seed oil content
Seed oil 23-3	Seed oil content
Seed oil 23-4	Seed oil content
Seed oil 23-5	Seed oil content
Seed oil 23-6	Seed oil content
Seed protein 24-1	Seed protein content
Seed protein 24-2	Seed protein content
Seed protein 24-3	Seed protein content
Seed protein 24-4	Seed protein content
Seed weight 15-1	Seed weight per plant
Seed weight 15-2	Seed weight per plant
Seed weight 15-3	Seed weight per plant
Seed weight 15-4	Seed weight per plant
Seed weight 15-5	Seed weight per plant
Seed weight 15-6	Seed weight per plant
Seed weight 15-7	Seed weight per plant
