TaxonID	3847
MappingPopulation	AC756_x_RCATAngora
Journal	Crop Science
Year	2005
Volume	45
Pages	2454-2464
Title	Mapping QTL for Individual and Total Isoflavone Content in Soybean Seeds.
Seed daidzein 2-1	Seed daidzein content
Seed daidzein 2-2	Seed daidzein content
Seed daidzein 2-3	Seed daidzein content
Seed daidzein 2-4	Seed daidzein content
Seed daidzein 2-5	Seed daidzein content
Seed daidzein 2-6	Seed daidzein content
Seed daidzein 2-7	Seed daidzein content
Seed genistein 2-1	Seed genistein content
Seed genistein 2-2	Seed genistein content
Seed genistein 2-3	Seed genistein content
Seed genistein 2-4	Seed genistein content
Seed genistein 2-5	Seed genistein content
Seed genistein 2-6	Seed genistein content
Seed genistein 2-7	Seed genistein content
Seed glycitein 2-1	Seed glycitein content
Seed glycitein 2-2	Seed glycitein content
Seed glycitein 2-3	Seed glycitein content
Seed glycitein 2-4	Seed glycitein content
Seed glycitein 2-5	Seed glycitein content
Seed glycitein 2-6	Seed glycitein content
Seed glycitein 2-7	Seed glycitein content
Seed glycitein 2-8	Seed glycitein content
Seed glycitein 2-9	Seed glycitein content
Seed isoflavone 1-1	Seed isoflavone content
Seed isoflavone 1-2	Seed isoflavone content
Seed isoflavone 1-3	Seed isoflavone content
Seed isoflavone 1-4	Seed isoflavone content
Seed isoflavone 1-5	Seed isoflavone content
Seed isoflavone 1-6	Seed isoflavone content
Seed isoflavone 1-7	Seed isoflavone content
