TaxonID	3847
MappingPopulation	Toyomusume_x_Hayahikan
Journal	Theoretical and Applied Genetics
Year	2005
Volume	111
Pages	851-861
Title	Mapping of QTL associated with chilling tolerance during reproductive growth in soybean
First flower 20-1	First flower
First flower 20-2	First flower
First flower 20-3	First flower
Seed number 2-1	Seed Number
Seed number 2-2	Seed Number
Seed weight 16-1	Seed weight per plant
Seed weight 16-2	Seed weight per plant
Seed weight 16-3	Seed weight per plant
Seed weight 19-1	Seed weight per plant
Seed weight 19-2	Seed weight per plant
