TaxonID	3847
MappingPopulation	Hamilton_x_PI90763
Journal	Theoretical and Applied Genetics
Year	2005
Volume	111
Pages	965-971
Title	Identification of QTLs associated with resistance to soybean cyst nematode races 2, 3 and 5 in soybean PI 90763
SCN 29-1	Reaction to Heterodera glycines
SCN 29-10	Reaction to Heterodera glycines
SCN 29-2	Reaction to Heterodera glycines
SCN 29-3	Reaction to Heterodera glycines
SCN 29-4	Reaction to Heterodera glycines
SCN 29-5	Reaction to Heterodera glycines
SCN 29-6	Reaction to Heterodera glycines
SCN 29-7	Reaction to Heterodera glycines
SCN 29-8	Reaction to Heterodera glycines
SCN 29-9	Reaction to Heterodera glycines
