TaxonID	3847
MappingPopulation	Charleston_x_Dongnong594
Year	2007
Volume	6
Pages	399-405
Title	QTL Analysis of Major Agronomic Traits in Soybean
Branching 1-1	Branching
Branching 1-2	Branching
Branching 1-3	Branching
Branching 1-4	Branching
Branching 1-5	Branching
Branching 1-6	Branching
Branching 1-7	Branching
Leaflet length 10-1	Leaflet Length
Leaflet length 10-2	Leaflet Length
Leaflet length 10-3	Leaflet Length
Leaflet length 10-4	Leaflet Length
Leaflet length 10-5	Leaflet Length
Leaflet length 10-6	Leaflet Length
Leaflet width 10-1	Leaflet Width
Leaflet width 10-2	Leaflet Width
Leaflet width 10-3	Leaflet Width
Node number 3-1	Root nodule number
Node number 3-2	Root nodule number
Node number 3-3	Root nodule number
Node number 3-4	Root nodule number
Node number 3-5	Root nodule number
Node number 3-6	Root nodule number
Node number 3-7	Root nodule number
Plant height 24-1	Plant Height
Plant height 24-2	Plant Height
Plant height 24-3	Plant Height
Plant height 24-4	Plant Height
Plant height 24-5	Plant Height
Plant height 24-6	Plant Height
Plant height 24-7	Plant Height
Plant height 24-8	Plant Height
Pod maturity 21-1	R8 Full Maturity
Pod maturity 21-2	R8 Full Maturity
Pod maturity 21-3	R8 Full Maturity
Pod maturity 21-4	R8 Full Maturity
Pod number 2-1	Pods per plant
Pod number 2-2	Pods per plant
Pod number 2-3	Pods per plant
Pod number 2-4	Pods per plant
Seed oil 28-1	Seed oil content
Seed oil 28-2	Seed oil content
Seed oil 28-3	Seed oil content
Seed oil 28-4	Seed oil content
Seed oil plus protein 1-1	Seed oil plus protein content
Seed oil plus protein 1-2	Seed oil plus protein content
Seed oil plus protein 1-3	Seed oil plus protein content
Seed oil plus protein 1-4	Seed oil plus protein content
Seed oil plus protein 1-5	Seed oil plus protein content
Seed protein 27-1	Seed protein content
Seed protein 27-2	Seed protein content
Seed protein 27-3	Seed protein content
Seed protein 27-4	Seed protein content
Seed protein 27-5	Seed protein content
Seed weight 25-1	Seed weight per plant
Seed weight 25-2	Seed weight per plant
Seed weight 25-3	Seed weight per plant
Seed weight 25-4	Seed weight per plant
Seed weight 25-5	Seed weight per plant
Seed weight 25-6	Seed weight per plant
Seed weight 25-7	Seed weight per plant
Seed weight 25-8	Seed weight per plant
Seed weight per plant 1-1	Seed weight per plant
Seed weight per plant 1-2	Seed weight per plant
Seed weight per plant 1-3	Seed weight per plant
Seed weight per plant 1-4	Seed weight per plant
Seed weight per plant 1-5	Seed weight per plant
Seed weight per plant 1-6	Seed weight per plant
Seed weight per plant 1-7	Seed weight per plant
