TaxonID	3847
MappingPopulation	MD96-5722_x_Spencer
Journal	3 Biotech
Title	Quantitative trait loci underlying resistance to sudden death syndrome (SDS) in MD96-5722 by ‘Spencer’ recombinant inbred line population of soybean
SDS 14-1	Reaction to Fusarium solani f sp glycines infection
SDS 14-10	Reaction to Fusarium solani f sp glycines infection
SDS 14-11	Reaction to Fusarium solani f sp glycines infection
SDS 14-12	Reaction to Fusarium solani f sp glycines infection
SDS 14-13	Reaction to Fusarium solani f sp glycines infection
SDS 14-2	Reaction to Fusarium solani f sp glycines infection
SDS 14-3	Reaction to Fusarium solani f sp glycines infection
SDS 14-4	Reaction to Fusarium solani f sp glycines infection
SDS 14-5	Reaction to Fusarium solani f sp glycines infection
SDS 14-6	Reaction to Fusarium solani f sp glycines infection
SDS 14-7	Reaction to Fusarium solani f sp glycines infection
SDS 14-8	Reaction to Fusarium solani f sp glycines infection
SDS 14-9	Reaction to Fusarium solani f sp glycines infection
