TaxonID	3847
MappingPopulation	KefengNo.1_x_1138-2
Title	A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
First flower 11-1	First flower
First flower 11-2	First flower
First flower 11-3	First flower
First flower 11-4	First flower
Node number 1-1	Root nodule number
Node number 1-10	Root nodule number
Node number 1-11	Root nodule number
Node number 1-12	Root nodule number
Node number 1-13	Root nodule number
Node number 1-2	Root nodule number
Node number 1-3	Root nodule number
Node number 1-4	Root nodule number
Node number 1-5	Root nodule number
Node number 1-6	Root nodule number
Node number 1-7	Root nodule number
Node number 1-8	Root nodule number
Node number 1-9	Root nodule number
Plant height 20-1	Plant Height
Plant height 20-10	Plant Height
Plant height 20-11	Plant Height
Plant height 20-12	Plant Height
Plant height 20-2	Plant Height
Plant height 20-3	Plant Height
Plant height 20-4	Plant Height
Plant height 20-5	Plant Height
Plant height 20-6	Plant Height
Plant height 20-7	Plant Height
Plant height 20-8	Plant Height
Plant height 20-9	Plant Height
Pod maturity 17-1	R8 Full Maturity
Pod maturity 17-10	R8 Full Maturity
Pod maturity 17-11	R8 Full Maturity
Pod maturity 17-12	R8 Full Maturity
Pod maturity 17-13	R8 Full Maturity
Pod maturity 17-2	R8 Full Maturity
Pod maturity 17-3	R8 Full Maturity
Pod maturity 17-4	R8 Full Maturity
Pod maturity 17-5	R8 Full Maturity
Pod maturity 17-6	R8 Full Maturity
Pod maturity 17-7	R8 Full Maturity
Pod maturity 17-8	R8 Full Maturity
Pod maturity 17-9	R8 Full Maturity
Pods per node 1-1	Pods Per Node
Pods per node 1-2	Pods Per Node
Pods per node 1-3	Pods Per Node
Pods per node 1-4	Pods Per Node
Pods per node 1-5	Pods Per Node
Pods per node 1-6	Pods Per Node
Pods per node 1-7	Pods Per Node
Seed oil 25-1	Seed oil content
Seed oil 25-2	Seed oil content
Seed oil 25-3	Seed oil content
Seed oil 25-4	Seed oil content
Seed protein 25-1	Seed protein content
Seed protein 25-2	Seed protein content
Seed protein 25-3	Seed protein content
Seed weight 21-1	Seed weight per plant
Seed weight 21-2	Seed weight per plant
Seed weight 21-3	Seed weight per plant
Seed yield 18-1	Seed yield
Seed yield 18-2	Seed yield
Seed yield 18-3	Seed yield
Seed yield 18-4	Seed yield
Seed yield 18-5	Seed yield
Seed yield 18-6	Seed yield
Seed yield 18-7	Seed yield
Seed yield 18-8	Seed yield
Seed yield 18-9	Seed yield
