TaxonID	3847
MappingPopulation	KFNo.1_x_NN1138-2
Title	A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
Al tolerance 3-1	Aluminum Tolerance
Al tolerance 3-2	Aluminum Tolerance
Al tolerance 3-3	Aluminum Tolerance
Al tolerance 3-4	Aluminum Tolerance
Al tolerance 3-5	Aluminum Tolerance
Al tolerance 3-6	Aluminum Tolerance
Al tolerance 3-7	Aluminum Tolerance
Al tolerance 3-8	Aluminum Tolerance
Al tolerance 3-9	Aluminum Tolerance
