TaxonID	3847
MappingPopulation	Kefeng1_x_Nannong1138-2
Title	Analysis of QTLs for the Trichome Density on the Upper and Downer Surface of Leaf Blade in Soybean [Glycine max (L.) Merr.]
Pubescence density 2-1	Pubescence Density
Pubescence density 2-10	Pubescence Density
Pubescence density 2-11	Pubescence Density
Pubescence density 2-12	Pubescence Density
Pubescence density 2-13	Pubescence Density
Pubescence density 2-14	Pubescence Density
Pubescence density 2-15	Pubescence Density
Pubescence density 2-16	Pubescence Density
Pubescence density 2-17	Pubescence Density
Pubescence density 2-2	Pubescence Density
Pubescence density 2-3	Pubescence Density
Pubescence density 2-4	Pubescence Density
Pubescence density 2-5	Pubescence Density
Pubescence density 2-6	Pubescence Density
Pubescence density 2-7	Pubescence Density
Pubescence density 2-8	Pubescence Density
Pubescence density 2-9	Pubescence Density
