TaxonID	3847
MappingPopulation	Keunolkong_x_Iksan10
Title	Analysis of Quantitative Trait Loci (QTLs) for Seed Size and Fatty Acid Composition Using Recombinant Inbred Lines in Soybean
Seed linoleic 7-1	Seed linoleic acid content
Seed linoleic 7-2	Seed linoleic acid content
Seed linoleic 7-3	Seed linoleic acid content
Seed linoleic 7-4	Seed linoleic acid content
Seed linoleic 7-5	Seed linoleic acid content
Seed linolenic 8-1	Seed linolenic acid content
Seed linolenic 8-2	Seed linolenic acid content
Seed linolenic 8-3	Seed linolenic acid content
Seed oil 31-1	Seed oil content
Seed oil 31-2	Seed oil content
Seed oil 31-3	Seed oil content
Seed oleic 7-1	Seed oleic acid content
Seed oleic 7-2	Seed oleic acid content
Seed oleic 7-3	Seed oleic acid content
Seed oleic 7-4	Seed oleic acid content
Seed oleic 7-5	Seed oleic acid content
Seed palmitic plus stearic 1-1	Seed palmitic+stearic acid content
Seed palmitic plus stearic 1-2	Seed palmitic+stearic acid content
Seed weight 30-1	Seed weight per plant
Seed weight 30-2	Seed weight per plant
Seed weight 30-3	Seed weight per plant
Seed weight 30-4	Seed weight per plant
Seed weight 30-5	Seed weight per plant
Seed weight 30-6	Seed weight per plant
Seed weight 30-7	Seed weight per plant
