TaxonID	3847
MappingPopulation	Keunolkong_x_Shinpaldalkong
Title	Analysis of quantitative trait loci associated with leaflet types in two recombinant inbred lines of soybean
Leaflet length 6-1	Leaflet Length
Leaflet length 6-2	Leaflet Length
Leaflet length 6-3	Leaflet Length
Leaflet length 6-4	Leaflet Length
Leaflet length 7-1	Leaflet Length
Leaflet length 7-10	Leaflet Length
Leaflet length 7-11	Leaflet Length
Leaflet length 7-12	Leaflet Length
Leaflet length 7-2	Leaflet Length
Leaflet length 7-3	Leaflet Length
Leaflet length 7-4	Leaflet Length
Leaflet length 7-5	Leaflet Length
Leaflet length 7-6	Leaflet Length
Leaflet length 7-7	Leaflet Length
Leaflet length 7-8	Leaflet Length
Leaflet length 7-9	Leaflet Length
Leaflet length 8-1	Leaflet Length
Leaflet length 8-10	Leaflet Length
Leaflet length 8-11	Leaflet Length
Leaflet length 8-12	Leaflet Length
Leaflet length 8-13	Leaflet Length
Leaflet length 8-14	Leaflet Length
Leaflet length 8-15	Leaflet Length
Leaflet length 8-2	Leaflet Length
Leaflet length 8-3	Leaflet Length
Leaflet length 8-4	Leaflet Length
Leaflet length 8-5	Leaflet Length
Leaflet length 8-6	Leaflet Length
Leaflet length 8-7	Leaflet Length
Leaflet length 8-8	Leaflet Length
Leaflet length 8-9	Leaflet Length
Leaflet length 9-1	Leaflet Length
Leaflet length 9-10	Leaflet Length
Leaflet length 9-11	Leaflet Length
Leaflet length 9-12	Leaflet Length
Leaflet length 9-13	Leaflet Length
Leaflet length 9-14	Leaflet Length
Leaflet length 9-15	Leaflet Length
Leaflet length 9-2	Leaflet Length
Leaflet length 9-3	Leaflet Length
Leaflet length 9-4	Leaflet Length
Leaflet length 9-5	Leaflet Length
Leaflet length 9-6	Leaflet Length
Leaflet length 9-7	Leaflet Length
Leaflet length 9-8	Leaflet Length
Leaflet length 9-9	Leaflet Length
Leaflet shape 6-1	Leaflet shape
Leaflet shape 6-10	Leaflet shape
Leaflet shape 6-11	Leaflet shape
Leaflet shape 6-12	Leaflet shape
Leaflet shape 6-13	Leaflet shape
Leaflet shape 6-14	Leaflet shape
Leaflet shape 6-15	Leaflet shape
Leaflet shape 6-16	Leaflet shape
Leaflet shape 6-17	Leaflet shape
Leaflet shape 6-18	Leaflet shape
Leaflet shape 6-19	Leaflet shape
Leaflet shape 6-2	Leaflet shape
Leaflet shape 6-20	Leaflet shape
Leaflet shape 6-21	Leaflet shape
Leaflet shape 6-3	Leaflet shape
Leaflet shape 6-4	Leaflet shape
Leaflet shape 6-5	Leaflet shape
Leaflet shape 6-6	Leaflet shape
Leaflet shape 6-7	Leaflet shape
Leaflet shape 6-8	Leaflet shape
Leaflet shape 6-9	Leaflet shape
Leaflet shape 7-1	Leaflet shape
Leaflet shape 7-10	Leaflet shape
Leaflet shape 7-11	Leaflet shape
Leaflet shape 7-12	Leaflet shape
Leaflet shape 7-13	Leaflet shape
Leaflet shape 7-14	Leaflet shape
Leaflet shape 7-15	Leaflet shape
Leaflet shape 7-16	Leaflet shape
Leaflet shape 7-2	Leaflet shape
Leaflet shape 7-3	Leaflet shape
Leaflet shape 7-4	Leaflet shape
Leaflet shape 7-5	Leaflet shape
Leaflet shape 7-6	Leaflet shape
Leaflet shape 7-7	Leaflet shape
Leaflet shape 7-8	Leaflet shape
Leaflet shape 7-9	Leaflet shape
Leaflet shape 8-1	Leaflet shape
Leaflet shape 8-10	Leaflet shape
Leaflet shape 8-2	Leaflet shape
