TaxonID	3847
MappingPopulation	PI438489B_x_Hamilton
Journal	Atlas Journal of Plant Biology
Title	Quantitative Trait Loci (QTL) that Underlie SCN Resistance in Soybean [Glycine max (L.) Merr.] PI438489B by HamiltonÕ Recombinant Inbred Line (RIL) Population
SCN 46-1	Reaction to Heterodera glycines
SCN 46-2	Reaction to Heterodera glycines
SCN 46-3	Reaction to Heterodera glycines
SCN 46-4	Reaction to Heterodera glycines
SCN 46-5	Reaction to Heterodera glycines
SCN 46-6	Reaction to Heterodera glycines
SCN 46-7	Reaction to Heterodera glycines
SCN 46-8	Reaction to Heterodera glycines
