TaxonID	3847
MappingPopulation	MD96-5722_x_Spencer
Journal	Canadian Journal of Plant Science
Title	Identification of Quantitative Trait Loci (QTL) Underlying Protein, Oil, and Five Major Fatty AcidsÕ Contents in Soybean
Seed linoleic 9-1	Seed linoleic acid content
Seed linoleic 9-2	Seed linoleic acid content
Seed linoleic 9-3	Seed linoleic acid content
Seed linolenic 13-1	Seed linolenic acid content
Seed linolenic 13-2	Seed linolenic acid content
Seed linolenic 13-3	Seed linolenic acid content
Seed linolenic 13-4	Seed linolenic acid content
Seed linolenic 13-5	Seed linolenic acid content
Seed linolenic 13-6	Seed linolenic acid content
Seed oil 45-1	Seed oil content
Seed oil 45-10	Seed oil content
Seed oil 45-11	Seed oil content
Seed oil 45-2	Seed oil content
Seed oil 45-3	Seed oil content
Seed oil 45-4	Seed oil content
Seed oil 45-5	Seed oil content
Seed oil 45-7	Seed oil content
Seed oil 45-8	Seed oil content
Seed oleic 10-1	Seed oleic acid content
Seed oleic 10-2	Seed oleic acid content
Seed oleic 10-3	Seed oleic acid content
Seed palmitic 9-1	Seed palmitic acid content
Seed palmitic 9-2	Seed palmitic acid content
Seed protein 45-1	Seed oil content
Seed stearic 9-1	Seed stearic acid content
