TaxonID	3847
MappingPopulation	Conrad_x_Sloan
Title	Comparison of Phenotypic Methods and Yield Contributions of Quantitative Trait Loci for Partial Resistance to Phyophthora sojae in Soybean
Phytoph 11-1	Reaction to Phytophthora sojae infection
Phytoph 11-10	Reaction to Phytophthora sojae infection
Phytoph 11-11	Reaction to Phytophthora sojae infection
Phytoph 11-12	Reaction to Phytophthora sojae infection
Phytoph 11-13	Reaction to Phytophthora sojae infection
Phytoph 11-14	Reaction to Phytophthora sojae infection
Phytoph 11-15	Reaction to Phytophthora sojae infection
Phytoph 11-16	Reaction to Phytophthora sojae infection
Phytoph 11-17	Reaction to Phytophthora sojae infection
Phytoph 11-18	Reaction to Phytophthora sojae infection
Phytoph 11-19	Reaction to Phytophthora sojae infection
Phytoph 11-2	Reaction to Phytophthora sojae infection
Phytoph 11-20	Reaction to Phytophthora sojae infection
Phytoph 11-21	Reaction to Phytophthora sojae infection
Phytoph 11-22	Reaction to Phytophthora sojae infection
Phytoph 11-3	Reaction to Phytophthora sojae infection
Phytoph 11-4	Reaction to Phytophthora sojae infection
Phytoph 11-5	Reaction to Phytophthora sojae infection
Phytoph 11-6	Reaction to Phytophthora sojae infection
Phytoph 11-7	Reaction to Phytophthora sojae infection
Phytoph 11-8	Reaction to Phytophthora sojae infection
Phytoph 11-9	Reaction to Phytophthora sojae infection
