TaxonID	3847
MappingPopulation	Magellan_x_PI438489B
Title	Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 36-1	Reaction to Heterodera glycines
SCN 36-2	Reaction to Heterodera glycines
SCN 36-3	Reaction to Heterodera glycines
SCN 36-4	Reaction to Heterodera glycines
SCN 36-5	Reaction to Heterodera glycines
SCN 36-6	Reaction to Heterodera glycines
SCN 36-7	Reaction to Heterodera glycines
SCN 36-8	Reaction to Heterodera glycines
