TaxonID	3847
MappingPopulation	KS4303sp_x_PI407818B
Journal	Crop Science
Title	Identification and Confirmation of Quantitative Trait Loci Associated with Soybean Seed Hardness
Seed hardness 2-1	Seed hardness
Seed hardness 2-10	Seed hardness
Seed hardness 2-11	Seed hardness
Seed hardness 2-12	Seed hardness
Seed hardness 2-2	Seed hardness
Seed hardness 2-3	Seed hardness
Seed hardness 2-4	Seed hardness
Seed hardness 2-5	Seed hardness
Seed hardness 2-6	Seed hardness
Seed hardness 2-7	Seed hardness
Seed hardness 2-8	Seed hardness
Seed hardness 2-9	Seed hardness
