TaxonID	3847
MappingPopulation	Magellan_x_Pi438489B
Journal	Crop Science Society of America
Title	Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
cqSeed oil-005	Seed oil content
cqSeed oil-006	Seed oil content
cqSeed oil-007	Seed oil content
cqSeed oil-008	Seed oil content
cqSeed oil-009	Seed oil content
cqSeed oil-010	Seed oil content
cqSeed oil-011	Seed oil content
cqSeed oil-012	Seed oil content
cqSeed oil-013	Seed oil content
cqSeed oil-014	Seed oil content
cqSeed oil-015	Seed oil content
cqSeed oil-016	Seed oil content
cqSeed protein-004	Seed protein content
cqSeed protein-005	Seed protein content
cqSeed protein-006	Seed protein content
cqSeed protein-007	Seed protein content
cqSeed protein-008	Seed protein content
cqSeed protein-009	Seed protein content
cqSeed protein-010	Seed protein content
cqSeed protein-011	Seed protein content
cqSeed protein-012	Seed protein content
cqSeed protein-013	Seed protein content
cqSeed protein-014	Seed protein content
cqSeed protein-015	Seed protein content
cqSeed protein-016	Seed protein content
cqSeed weight-004	Seed weight per plant
cqSeed weight-005	Seed weight per plant
cqSeed weight-006	Seed weight per plant
cqSeed weight-007	Seed weight per plant
cqSeed weight-008	Seed weight per plant
cqSeed weight-009	Seed weight per plant
cqSeed weight-010	Seed weight per plant
cqSeed weight-011	Seed weight per plant
cqSeed weight-012	Seed weight per plant
cqSeed weight-013	Seed weight per plant
mqPlant height-001	Plant Height
mqPlant height-002	Plant Height
mqPlant height-003	Plant Height
mqPlant height-004	Plant Height
mqPlant height-005	Plant Height
mqPlant height-006	Plant Height
mqPlant height-007	Plant Height
mqPlant height-008	Plant Height
mqPlant height-009	Plant Height
mqPlant height-010	Plant Height
mqPlant height-011	Plant Height
mqPlant height-012	Plant Height
