TaxonID	3847
MappingPopulation	Essex_x_Forrest
Title	Definition of Soybean Genomic Regions That Control Seed Phytoestrogen Amounts
Seed daidzein 4-1	Seed daidzein content
Seed daidzein 4-2	Seed daidzein content
Seed daidzein 4-3	Seed daidzein content
Seed daidzein 4-4	Seed daidzein content
Seed genistein 4-1	Seed genistein content
Seed genistein 4-2	Seed genistein content
Seed glycitein 4-1	Seed glycitein content
Seed glycitein 4-2	Seed glycitein content
Seed glycitein 4-3	Seed glycitein content
Seed glycitein 4-4	Seed glycitein content
Seed glycitein 4-5	Seed glycitein content
