TaxonID	3847
MappingPopulation	Williams82_x_Essex
Title	Detection of quantitative trait loci for marker-assisted selection of soybean isoflavone genistein
Seed daidzein 10-1	Seed daidzein content
Seed daidzein 10-2	Seed daidzein content
Seed daidzein 10-3	Seed daidzein content
Seed daidzein 10-4	Seed daidzein content
Seed daidzein 10-5	Seed daidzein content
Seed genistein 10-1	Seed genistein content
Seed genistein 10-2	Seed genistein content
Seed genistein 10-3	Seed genistein content
Seed genistein 10-4	Seed genistein content
Seed genistein 10-5	Seed genistein content
Seed genistein 10-6	Seed genistein content
Seed genistein 10-7	Seed genistein content
Seed glycitein 10-1	Seed glycitein content
Seed glycitein 10-2	Seed glycitein content
Seed glycitein 10-3	Seed glycitein content
Seed isoflavone 8-1	Seed isoflavone content
Seed isoflavone 8-2	Seed isoflavone content
Seed isoflavone 8-3	Seed isoflavone content
