TaxonID	3847
MappingPopulation	JP036034_x_Ryuhou
Journal	Ecology and Evolution
Title	QTL affecting fitness of hybrids between wild and cultivated soybeans in experimental fields
First flower 24-1	First flower
First flower 24-2	First flower
First flower 24-3	First flower
First flower 24-4	First flower
First flower 25-1	First flower
First flower 25-2	First flower
First flower 25-3	First flower
First flower 25-4	First flower
Pod number 8-1	Pods per plant
Pod number 8-2	Pods per plant
Pod number 8-3	Pods per plant
Pod number 9-1	Pods per plant
Pod number 9-2	Pods per plant
Pod number 9-3	Pods per plant
Seed coat hardness 2-1	Seed Coat Hardness
Seed coat hardness 2-2	Seed Coat Hardness
Seed coat hardness 2-3	Seed Coat Hardness
Seed coat hardness 2-4	Seed Coat Hardness
Seed coat hardness 2-5	Seed Coat Hardness
Seed coat hardness 3-1	Seed Coat Hardness
Seed coat hardness 3-2	Seed Coat Hardness
Seed coat hardness 3-3	Seed Coat Hardness
Seed number 5-1	Seed Number
Seed number 6-1	Seed Number
Seed number 6-2	Seed Number
Seed weight 42-1	Seed weight per plant
Seed weight 42-2	Seed weight per plant
Seed weight 42-3	Seed weight per plant
Seed weight 42-4	Seed weight per plant
Seed weight 42-5	Seed weight per plant
Seed weight 43-1	Seed weight per plant
Seed weight 43-2	Seed weight per plant
Seed weight 43-3	Seed weight per plant
Seed weight 43-4	Seed weight per plant
Seed weight per plant 4-1	Seed weight per plant
Seed weight per plant 5-1	Seed weight per plant
Seed weight per plant 5-2	Seed weight per plant
Seed weight per plant 5-3	Seed weight per plant
Seed winter hardiness 1-1	Seed cold stress resistance
Seed winter hardiness 1-2	Seed cold stress resistance
Seed winter hardiness 1-3	Seed cold stress resistance
Seed winter hardiness 2-1	Seed cold stress resistance
Seed winter hardiness 2-2	Seed cold stress resistance
Seed winter hardiness 2-3	Seed cold stress resistance
Stem length, main 2-1	Main Stem Length
Stem length, main 2-2	Main Stem Length
Stem length, main 2-3	Main Stem Length
Stem length, main 3-1	Main Stem Length
Stem length, main 3-2	Main Stem Length
Stem weight, dry 1-1	shoot weight, dry
Stem weight, dry 1-2	shoot weight, dry
Stem weight, dry 1-3	shoot weight, dry
Stem weight, dry 2-1	shoot weight, dry
Stem weight, dry 2-2	shoot weight, dry
Stem weight, dry 2-3	shoot weight, dry
