TaxonID	3847
MappingPopulation	_x_
Journal	Euphytica
Title	An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-001	Seed oil content
mqSeed Oil-002	Seed oil content
mqSeed Oil-003	Seed oil content
mqSeed Oil-004	Seed oil content
mqSeed Oil-005	Seed oil content
mqSeed Oil-006	Seed oil content
mqSeed Oil-007	Seed oil content
mqSeed Oil-009	Seed oil content
mqSeed Oil-010	Seed oil content
mqSeed Oil-011	Seed oil content
mqSeed Oil-012	Seed oil content
mqSeed Oil-013	Seed oil content
mqSeed Oil-014	Seed oil content
mqSeed Oil-015	Seed oil content
mqSeed Oil-016	Seed oil content
mqSeed Oil-017	Seed oil content
mqSeed Oil-018	Seed oil content
mqSeed Oil-019	Seed oil content
mqSeed Oil-020	Seed oil content
mqSeed Oil-021	Seed oil content
mqSeed Oil-022	Seed oil content
mqSeed Oil-023	Seed oil content
mqSeed Oil-024	Seed oil content
mqSeed Oil-025	Seed oil content
