TaxonID	3847
MappingPopulation	Luheidou2_x_Nanhuizao
Journal	Euphytica
Title	Analysis of additive and epistatic quantitative trait loci underlying fatty acid concentrations in soybean seeds across multiple environments
Seed linoleic 10-1	Seed linoleic acid content
Seed linoleic 10-2	Seed linoleic acid content
Seed linoleic 10-3	Seed linoleic acid content
Seed linoleic 10-4	Seed linoleic acid content
Seed linoleic 10-5	Seed linoleic acid content
Seed linolenic 14-1	Seed linolenic acid content
Seed linolenic 14-2	Seed linolenic acid content
Seed linolenic 14-3	Seed linolenic acid content
Seed linolenic 14-4	Seed linolenic acid content
Seed linolenic 14-5	Seed linolenic acid content
Seed linolenic 14-6	Seed linolenic acid content
Seed linolenic 14-7	Seed linolenic acid content
Seed oleic 9-1	Seed linoleic acid content
Seed oleic 9-2	Seed linoleic acid content
Seed oleic 9-3	Seed linoleic acid content
Seed palmitic 10-1	Seed palmitic acid content
Seed palmitic 10-2	Seed palmitic acid content
Seed stearic 8-1	Seed stearic acid content
Seed stearic 8-10	Seed stearic acid content
Seed stearic 8-11	Seed stearic acid content
Seed stearic 8-2	Seed stearic acid content
Seed stearic 8-3	Seed stearic acid content
Seed stearic 8-4	Seed stearic acid content
Seed stearic 8-5	Seed stearic acid content
Seed stearic 8-6	Seed stearic acid content
Seed stearic 8-7	Seed stearic acid content
Seed stearic 8-8	Seed stearic acid content
Seed stearic 8-9	Seed stearic acid content
